RBD;NOMBRE;DEPENDENCIA;DIRECCIÓN;REGION;COMUNA;DIRECTOR/A;E- MAIL DIRECTOR/A;TELEFONO;E- MAIL ESTABLECIMIENTO ;Discapacidad Auditiva;Discapacidad Intelectual;Discapacidad Visual; Trastornos Específicos del Lenguaje; Transtornos Motores; Autismo; Discapacidad Graves Alteraciones en la Capacidad de Relación y Comunicación; Discapacidad Múltiple; Sordoceguera
30;ESCUELA DR. RICARDO OLEA GUERRA;Municipal Daem;BALMACEDA 2480;15;ARICA;MARÍA ISABEL ÁLVAREZ HERNÁNDEZ;JEFATECNICAF22@GMAIL.COM;58-2222419;ESCUELA.ESPECIAL@SERMEARICA.CL;;ü;;;ü;ü;;;
52;LICEO BICENTENARIO DOMINGO SANTA MARIA;Particular Subvencionado;SANTA MARIA 2189;15;ARICA;MERCEDES DEL CARMEN CORRALES SALAS;MCORRALES@LDSM.CL;58-2587710;LROCO@LDSM.CL;;;;ü;;;;;
102;ESC.EDUC.ESPECIAL FLOR DEL INCA;Municipal Corporación;PEDRO AGUIRRE CERDA 2098;1;IQUIQUE;MARIO WILFREDO GALLARDO CORRALES;MARIOGALLARDO.2008@GMAIL.COM;57-544781;FLORDELINCA@CORMUDESI.CL;;ü;;;;ü;;;
105;CENTRO DE CAPACITACION LABORAL;Municipal Corporación;JOSE FRANCISCO VERGARA 2877;1;IQUIQUE;GABRIEL ALEJANDRO PEÑA GUERRERO;GPGUERRERO2000@YAHOO.COM;57-544777;CLABORAL@CORMUDESI.CL;;ü;;;;;;ü;
117;ESCUELA PAULA JARAQUEMADA ALQUIZAR;Municipal Corporación;ORELLA 960;1;IQUIQUE;MARJORIE MARCIA CORTEZ ROJAS;MARJORIE.CORTEZ@CORMUDESI.CL;57-2544764;ANI_GONZA4@HOTMAIL.COM;;;;ü;;;;;
119;ESCUELA CENTENARIO;Municipal Corporación;SERRANO 998 998;1;IQUIQUE;LILIA DEL CARMEN ESPINOSA TAPIA;LILIAESPINOSATAPIA@GMAIL.COM;57-2544768;ESCUELA_CENTENARIOIQUIQUE@HOTMAIL.COM;;;;ü;;;;;
207;ESC. ESPECIAL PEDRO AGUIRRE CERDA;Municipal Daem;GOMEZ CARRENO S/N S/N;2;TOCOPILLA;DANYELI MAUREEN DEL CARMEN PÁEZ ESQUIVEL;DPAEZESQUIVEL@GMAIL.COM;55-426415;VALERA10@HOTMAIL.COM;;ü;;;;;;;
238;ESCUELA DIFERENCIAL LOA;Municipal Corporación;CHORRILLO. POBLACION ENTRE RIOS 1335;2;CALAMA;PATRICIA ANDREA CHEPILLA ZUBIETA;F33.DIFERENCIALELLOA@COMDESCALAMA.CL;55-2311347;F33.DIFERENCIALELLOA@COMDESCALAMA.CL;;ü;;;ü;;;;
311;ESC DIFERENCIAL JUAN SANDOVAL CARRASCO;Municipal Corporación;GENERAL BORGONO 876 876;2;ANTOFAGASTA;RUTH JIMENA SÁEZ RUBILAR;JIMENA.SAEZR@GMAIL.COM;55-247802;DIRECCION.JSC@GMAIL.COM;;ü;;;ü;ü;;;
340;CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL;Particular Subvencionado;PEDRO LEON GALLO 707;2;ANTOFAGASTA;FRESIA DE LOURDES ÁLVAREZ CHÁVEZ;FALVAREZ@COANIL.CL;55-2241138;FALVAREZ@COANIL.CL;;ü;;;;;;;
383;ESCUELA BÁSICA DIFERENCIAL JOSÉ LUIS OLIVARES ARANCIBIA;Municipal Daem;AVDA.ARTURO PRAT 1594;3;CHAÑARAL;PAMELA VIRGINIA VARGAS TOLEDO;PAMELA.VARGAS@SLEPATACAMA.CL;52-480372;ECTOLMO@HOTMAIL.COM;;ü;;ü;;;;;
404;ESCUELA EDUCACIÓN DIFERENCIAL MARÍA LUZ LANZA PIZARRO;Municipal Daem;LOS HEROES 454 S/N;3;COPIAPÓ;TOMÁS ARMANDO ROBLES SEGOVIA;TOMAS.ROBLES@ESCUELAMARIALANZA.CL;52-2219084;ESDIFERENCIALES13@YAHOO.ES;;ü;;;;;;;
456;ESCUELA EDUCACIÓN DIFERENCIAL LUIS IRIARTE IRIARTE;Municipal Daem;ARTURO PRAT 2802;3;VALLENAR;TERESA ISABEL NOEMÍ PIZARRO;TERESA.NOEMI@EDUCACIONPUBLICA.CL;51-2614608;TERESA.NOEMI@DAEMVALLENAR.CL;;ü;;;;;;;
529;COLEGIO MANUEL RODRIGUEZ;Municipal Corporación;JUANA ROSS DE EDWARDS S/N POBLACIÓN OSCAR PRAGUER S/N;4;LA SERENA;MARCELA ALEJANDRA GÓNGORA FLORES;GONGORAF@GMAIL.COM;51-2756732;COLEGIOMANUELRODRIGUEZ@CORPORACIONGGV.CL;;ü;;;;;;;
537;COLEGIO LUIS BRAILLE;Municipal Corporación;CUATRO ESQUINAS S/N S/N;4;LA SERENA;MARÍA SOLEDAD HERNÁNDEZ CERDA;SOLEHERNANDEZ2001@GMAIL.COM;00-000000;COLEGIOLUISBRAILLE@CORPORACIONGGV.CL;;;ü;;;;;;
544;ESCUELA DE EL MILAGRO;Municipal Corporación;CUATRO ESQUINAS S/N  SECTOR EL MILAGRO S/N;4;LA SERENA;ANA MARÍA FRANCO SILVA;ANAMARIA.FRANCOSILVA@GMAIL.COM;9-63718370;ANAMARIA.FRANCOSILVA@GMAIL.OM;;;;;;ü;;;
571;ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII;Particular Subvencionado;BALMACEDA 4320 PARADERO 9 DE LA PAMPA S/N;4;LA SERENA;ANA ESTHER DE LOURDES RIVEROS PLAZA;ANARIVEROS@COANIL.CL;2-28915755;UELOSPENSAMIENTOS@COANIL.CL;;ü;;;;;;;
623;CENTRO LABORAL JEAN PIAGET;Municipal Daem;MIRAFLORES   525 B S/N;4;COQUIMBO;ROSA ESMERALDA PÉREZ RAMÍREZ;CLABORAL_JPIAGET@HOTMAIL.COM;51-2314914;CLABORAL_JPIAGET@HOTMAIL.COM;;ü;;;;;;;
624;ESCUELA DIFERENCIAL JUAN SANDOVAL C.;Municipal Daem;SANTA ELENA 385;4;COQUIMBO;BRENDA PAOLA CORTÉS VEGA;YERI2004@HOTMAIL.COM;51-2322023;ESCUELAJUSAN@GMAIL.COM;;ü;;;;;;;
719;COLEGIO YUNGAY;Municipal Daem;YUNGAY 391POB. FRAY JORGE S/N;4;OVALLE;CAROLINA ALEJANDRA BEHRENS VALDÉS;CARITOBEHRENS@HOTMAIL.COM;53-2620162;COLYUNGA@GMAIL.COM;;ü;;;;;;ü;
1126;ESCUELA ESPECIAL SOL NACIENTE;Municipal Daem;GOENECHEA 373 S/N;5;LA LIGUA;MARCELO ISAÍAS MATAMALA RUZ;MMATAMAL@HOTMAIL.COM;-;E.SOLNACIENTE2014@GMAIL.COM;;ü;;;;;;;
1201;ESCUELA ESPECIAL VALLE ANDINO;Municipal Daem;ASTURIAS 1060;5;LOS ANDES;JIMENA EMELINA RODRÍGUEZ LEAL;UTP@ESCUELAESPECIALVALLEANDINO.CL;34-2421756;ESCUELAESPECIALVA@GMAIL.COM;;ü;;;;;;;
1276;ESCUELA ESPECIAL SAGRADO CORAZON;Municipal Daem;JOAQUIN OLIVA 161 POBLACION YUNGAY 161;5;SAN FELIPE;BEATRIZ DE LOURDES GALLARDO MORALES;BETIGALLARDO@GMAIL.COM;34-2513525;ESCUELAESPECIALSAGRADOCORAZON@DAEM.CL;;ü;;;;;;;
1319;ESCUELA ESPECIAL MARÍA REBECA ESPÍNOLA ESPINOSA DE SANTA MARÍA;Municipal Daem;SAN FERNANDO 748 S/N;5;SANTA MARÍA;XIMENA LILIANA VEGA ESCUDERO;DIRECCION@MESM.CL;34-2232775;ESCUELAMARIAESPINOLAE@GMAIL.COM;;ü;;;;;;;
1352;ESCUELA MARIA TERESA DEL CANTO;Municipal Daem;B.GARCIA HUIDOBRO S/N LADO PLAZA CATEMU S/N;5;CATEMU;MARCO ANTONIO DURÁN GATICA;MARCODURANG2@GMAIL.COM;34-631365;MARCO@DAEMCATEMU.CL;;ü;;;;;;;
1374;ESCUELA ESPECIAL LOS PALTOS;Municipal Daem;CALLE NUEVE 621 POBL LOS PALTOS S/N;5;QUILLOTA;MARÍA SOLEDAD ESCUDERO GALLARDO;CEILOSLPALTOS@HOTMAIL.COM;33-2296682;CEILOSPALTOS@HOTMAIL.COM;;ü;;;;;ü;;
1402;CENTRO EDUCACIONAL ARCO IRIS BAJO EL SOL;Particular Subvencionado;MAIPU  N° 51 51;5;QUILLOTA;FRANCIA EUGENIA LAGOS BARLARI;ESC.ESPECIALARCOIRIS@GMAIL.COM;33-2311966;ESC.ESPECIALARCOIRIS@GMAIL.COM;;ü;;;;;;;
1428;ESCUELA ESPECIAL JESUS DE NAZARETH;Municipal Daem;AMSTERDAM 465;5;LA CALERA;JORGE HÉCTOR ANTONIO ÁVILA PÉREZ;JAVILA@LACALERA.CL;33-222448;JNAZARET@GMAIL.COM;;ü;;;;;;;
1455;ESCUELA MONICA HURTADO EDWARDS;Municipal Daem;PETORQUITA 621 621;5;HIJUELAS;EVANAN ENRIQUE FLORES ROMERO;EVANANFLORES@GMAIL.COM;33-272195;EVANANFLORES@GMAIL.COM;;ü;;;;;;;
1500;COLEGIO PART. IGNACIO CARRERA PINTO;Particular Subvencionado;PRAT 4917;5;OLMUÉ;CLAUDIO FERNANDO GUTIÉRREZ MENESES;CLAUDIOUTP@GMAIL.COM;33-2443630;CICPOLMUE@GMAIL.COM;;;;ü;;;;;
1506;CENTRO EDUCATIVO FLORIDA;Municipal Corporación;MENA 837 Cº FLORIDA S/N;5;VALPARAÍSO;LEANDRO GABRIEL MASFERRER JERIA;LEANDRO.MASFERRER@SLEPVALPARAISO.CL;32-2135096;PATTYAGUILERAMARTINEZ@GMAIL.COM;;ü;;;;;;;
1508;CENTRO EDUCATIVO GRAN BRETAÑA;Municipal Corporación;SANTIAGO SEVERIN 49;5;VALPARAÍSO;ROXANA VALERIA GUAJARDO BAYOLA;ROXANA.GUAJARDO@SLEPVALPARAISO.CL;9-99137462;DIREGBRETANA@CORMUVAL.CL;;ü;;;ü;ü;;;
1509;CENTRO EDUCATIVO LUZ DE ESPERANZA;Municipal Corporación;1º DE MAYO S/N - SECTOR Mª EILERS - Cº PLACERES S/N;5;VALPARAÍSO;ERIKA DEL CARMEN SILVA ARMIJO;ESILVAARMIJO@YAHOO.ES;32-2135103;ESC_F288@YAHOO.ES;;ü;;;;;;ü;
1510;ESCUELA ESPECIAL DE LENGUAJE LIBERTADOR DE LA PATRIA BERNARDO O`HIGGINS;Municipal Corporación;SAN IGNACIO S/N S/N;5;VALPARAÍSO;RENÉ ORLANDO CÁRDENAS GONZÁLEZ;DIREBOHIGGINS@CMVALPARAISO.CL;32-22135071;EELENF292@GMAIL.COM;;;;ü;;;;;
1511;CENTRO EDUCATIVO REINO DE SUECIA;Municipal Corporación;LIBERTAD ESQ. SOUPER S/N PLAYA ANCHA VALPARAÍSO S/N;5;VALPARAÍSO;JUAN ARTURO SALAS ORELLANA;JUAN.SALAS@SLEPVALPARAISO.CL;32-2135077;DIRERSUECIA@CORMUVAL.CL;;ü;;;;;;;
1667;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;Municipal Corporación;INDICO 4641 1º SECTOR G.CARRENO 4641;5;VIÑA DEL MAR;CECILIA JEANETTE PORZIO LÓPEZ;CECILIAPORZIOLOPEZ@YAHOO.ES;32-2393569;CECILIAPORZIOLOPEZ@YAHOO.ES;ü;;;ü;;;;;
1668;ESCUELA ESPECIAL RAPA NUI;Municipal Corporación;CALLE OCHO ENTRE 19 Y 20 NORTE Nº 2118. SANTA INÉS. S/N;5;VIÑA DEL MAR;MARÍA SOLEDAD MILLONES CHIRINO;DIRECCIONRAPANUI@GMAIL.COM;32-3197611;SOLEMILLONES@GMAIL.COM;;ü;;;;ü;;;
1669;ESCUELA ESPECIAL JUANITA DE AGUIRRE CERDA;Municipal Corporación;CALLE PEÑABLANCA 253;5;VIÑA DEL MAR;MARÍA ANGELA MANRÍQUEZ GUZMÁN;MMGDEM56@GMAIL.COM;32-2393563;JAESPECIAL@GMAIL.COM;;ü;;;;ü;;;
1689;ESCUELA ORO NEGRO;Municipal Daem;TIERRA DEL FUEGO 850;5;CONCÓN;JUAN LUIS PÉREZ COLLAO;DIRECTOR.ORONEGRO@ESCUELASCONCON.CL;32-2811756;2013ESCUELAORONEGRO@GMAIL.COM;;ü;;;;;;;
1746;INST. DESARR. PARA NINOS CON S.DOWN;Particular Subvencionado;7 ORIENTE 384;5;VIÑA DEL MAR;JHONNATAN ALEXIS PIMENTEL DÍAZ;JHONNATAN.PIMENTEL@GMAIL.COM;32-3325459;RENACER384@YAHOO.ES;;ü;;;;;;;
1760;ESCUELA ESPECIAL JUAN SANDOVAL C.;Particular Subvencionado;VICTOR DOMINGO SILVA 135;5;VIÑA DEL MAR;VALERIA LORENA GARRETÓN VÁSQUEZ;VALEGARRETON@GMAIL.COM;32-2674552;JUAN_SANDOVALCARRASCO@HOTMAIL.COM;;ü;;;;;;;
1763;CENTRO TRAT. INTEGRAL LAS DALIAS;Particular Subvencionado;PASAJE 4  Nº 2777 PARADERO EL PALTO MIRAFLORES ALTO 2777;5;VIÑA DEL MAR;CAROLINA MARÍA ANINAT GONZÁLEZ;CANINAT@COANIL.CL;32-2648168;UELASDALIAS@COANIL.CL;;ü;;;;ü;;;
1918;COLEGIO LOS LEONES DE QUILPUE;Particular Subvencionado;URANO 2108 POB. SOL DEL PACIFICO S/N;5;QUILPUÉ;CRISTIAN INFANTE MIDDLETON;CINFANTE@COLEGIOLOSLEONES.CL;32-2827482;JELORTEGUI@GMAIL.COM;;;;ü;;;;;
1972;ESCUELA DE EDUC. DIFERENCIAL NUEVO AMANECER;Municipal Corporación;ALONSO DE ERCILLA 150;5;VILLA ALEMANA;ISABEL EMILIA DE LOURDES COLOMA SOLIMANO;ISABELCOLOMA@CMVA.CL;32-3243459;NUEVOAMANECER@CMVA.CL;;ü;;;;;;;
2011;ESCUELA ESPECIAL DIVINO MAESTRO;Municipal Daem;AV. BAQUEDANO 931;5;SAN ANTONIO;CLAUDIA VERÓNICA GALAZ GUZMÁN;ESCUELADIVINOMAESTRO@GMAIL.COM;35-2283801;ESCUELADIVINOMAESTRO@GMAIL.COM;;ü;;;;;;;
2053;INSTITUTO PSICOPEDAGOGICO;Particular Subvencionado;4 SUR                          BARRANCAS 95;5;SAN ANTONIO;MIRIAM ANGÉLICA CORTÉS MUÑOZ;MICOMUZ@YAHOO.COM;35-2284625;DISCAP95@YAHOO.ES;;ü;;;;;;;
2133;COL.ESPECIAL DR. RICARDO OLEA GULDEMONT;Municipal Corporación;AVDA. GENERAL BULNES 219 POBLACIÓN RANCAGUA SUR 219;6;RANCAGUA;GIOVANA VALESKA FAÚNDEZ PARRADO;RICARDO.OLEA@CORMUN.CL;72-2222285;RICARDO.OLEA@CORMUN.CL;;ü;;;;;;ü;
2243;COLEGIO NATALIA PERALTA P;Municipal Daem;OHIGGINS 376 S/N;6;CODEGUA;CLAUDIA ANDREA GONZÁLEZ VÁSQUEZ;PELLI025@HOTMAIL.COM;72-2973531;COLEGIONATALIAPERALTA@GMAIL.COM;;ü;;;;;;;
2246;COLEGIO JUAN TACHOIRE MOENA;Municipal Daem;CASTRO 397;6;MACHALÍ;CAROLINA ALEJANDRA ESPÍNOLA ACOSTA;CESPINOLA.ACOSTA@GMAIL.COM;72-412334;DIRECTORJUANTACHOIRE@EDUCACIONMACHALI.CL;;ü;;;;;;ü;
2291;ESCUELA DIFERENCIAL TERESA NARETTO DE NICOLETTI;Municipal Daem;SERRANO 430 S/N;6;RENGO;PATRICIA ISABEL RAMOS VILLARROEL;PATRICIARAMOSVILLARROEL@GMAIL.COM;72-2511815;ETNN2017@GMAIL.COM;;ü;;;;;;ü;
2327;COLEGIO MUNICIPAL DE EDUCACION ESPECIAL;Municipal Daem;AVENIDA CASTRO 301 S/N;6;QUINTA DE TILCOCO;MARÍA JOSÉ DÍAZ GONZÁLEZ;MARIAJOSE.DIAZGONZALEZ@GMAIL.COM;72-541695;BLAGUA26@HOTMAIL.COM;;ü;;;;;;;
2328;ESCUELA ESPECIAL PAULA JARAQUEMADA;Municipal Corporación;TAGUA TAGUA 521;6;SAN VICENTE;JORGE IVÁN DÍAZ BUSTAMANTE;JORGEDIAZBUSTA@GMAIL.COM;72-2626405;EPJA@EDUCACIONSANVICENTE.CL;;ü;;;;;;ü;
